epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,196.036,1.26136,1.03066,1.09095,0.78797,0.69862,0.7581,0.43953,1.47683,1.16454,1.22603,0.00029705,0.00029705,0.00029705
43,200.499,1.24138,1.02543,1.08696,0.772,0.70962,0.74299,0.44043,1.4658,1.18134,1.21808,0.0002921,0.0002921,0.0002921
44,205.298,1.20761,0.98638,1.06525,0.7442,0.67444,0.7366,0.44049,1.4492,1.19911,1.21108,0.00028715,0.00028715,0.00028715
45,209.719,1.21104,0.98916,1.07072,0.73897,0.69161,0.73941,0.44372,1.4687,1.23876,1.22657,0.0002822,0.0002822,0.0002822
46,214.435,1.21903,0.99743,1.0656,0.7527,0.68606,0.74323,0.44772,1.46416,1.20294,1.22992,0.00027725,0.00027725,0.00027725
47,219.025,1.19847,0.96988,1.06087,0.77864,0.66764,0.72683,0.42808,1.46893,1.2023,1.22863,0.0002723,0.0002723,0.0002723
48,223.616,1.14179,0.93825,1.04914,0.80559,0.68835,0.75196,0.45438,1.45143,1.13491,1.20697,0.00026735,0.00026735,0.00026735
49,227.996,1.223,0.95723,1.07018,0.79618,0.68041,0.73732,0.44487,1.46071,1.17069,1.20594,0.0002624,0.0002624,0.0002624
50,232.58,1.16842,0.9394,1.05116,0.79074,0.68175,0.74541,0.44539,1.44988,1.15562,1.20425,0.00025745,0.00025745,0.00025745
51,237.189,1.18434,0.94923,1.05604,0.79125,0.69507,0.76067,0.44688,1.46116,1.16532,1.21297,0.0002525,0.0002525,0.0002525
52,241.9,1.18534,0.94715,1.05229,0.76777,0.67664,0.73695,0.44376,1.46148,1.16709,1.21999,0.00024755,0.00024755,0.00024755
53,246.41,1.20105,0.94625,1.06698,0.76136,0.6849,0.7415,0.43492,1.46286,1.17485,1.2085,0.0002426,0.0002426,0.0002426
54,250.86,1.17798,0.91197,1.05292,0.75877,0.68983,0.73977,0.44381,1.44291,1.14741,1.20592,0.00023765,0.00023765,0.00023765
55,255.645,1.16065,0.91705,1.04558,0.72342,0.6984,0.72871,0.43524,1.44185,1.1431,1.20491,0.0002327,0.0002327,0.0002327
56,260.039,1.15665,0.91965,1.05186,0.782,0.67066,0.73357,0.44305,1.43526,1.1589,1.20881,0.00022775,0.00022775,0.00022775
57,264.328,1.18554,0.91168,1.05806,0.79693,0.65672,0.73443,0.43696,1.4451,1.15312,1.221,0.0002228,0.0002228,0.0002228
58,268.848,1.13225,0.8845,1.04464,0.82971,0.65157,0.74066,0.44308,1.44987,1.13538,1.21798,0.00021785,0.00021785,0.00021785
59,273.316,1.15151,0.89,1.04876,0.83747,0.66697,0.73907,0.44901,1.44497,1.12066,1.22253,0.0002129,0.0002129,0.0002129
60,277.661,1.14231,0.87655,1.04465,0.76508,0.70657,0.7408,0.44903,1.44429,1.13101,1.20659,0.00020795,0.00020795,0.00020795
61,282.268,1.14651,0.89438,1.04283,0.73979,0.72893,0.74605,0.44633,1.4537,1.13592,1.21752,0.000203,0.000203,0.000203
62,286.843,1.11289,0.86513,1.04019,0.81705,0.67585,0.75406,0.45153,1.45682,1.14236,1.21228,0.00019805,0.00019805,0.00019805
63,291.352,1.17524,0.88611,1.04662,0.81172,0.69649,0.75574,0.44799,1.45309,1.13736,1.21137,0.0001931,0.0001931,0.0001931
64,295.874,1.16345,0.88422,1.03572,0.79364,0.6871,0.74812,0.44733,1.45813,1.14577,1.21054,0.00018815,0.00018815,0.00018815
65,300.456,1.15131,0.8693,1.03585,0.75097,0.69578,0.74251,0.44871,1.43995,1.13515,1.20703,0.0001832,0.0001832,0.0001832
66,304.799,1.10686,0.84934,1.02163,0.76618,0.71248,0.74721,0.44857,1.44052,1.12933,1.20271,0.00017825,0.00017825,0.00017825
67,309.374,1.14231,0.86072,1.04258,0.7688,0.72428,0.74921,0.45356,1.44381,1.12161,1.20508,0.0001733,0.0001733,0.0001733
68,314.173,1.13924,0.86828,1.03209,0.77101,0.71473,0.74972,0.44866,1.46683,1.11537,1.21888,0.00016835,0.00016835,0.00016835
69,318.839,1.10307,0.83178,1.02469,0.76331,0.73011,0.75741,0.44459,1.45985,1.12858,1.21962,0.0001634,0.0001634,0.0001634
70,323.456,1.08401,0.82486,1.0183,0.78049,0.69784,0.75303,0.44249,1.46206,1.1251,1.21889,0.00015845,0.00015845,0.00015845
71,328.09,1.11807,0.83401,1.02906,0.76291,0.71911,0.76083,0.45203,1.4744,1.1139,1.21767,0.0001535,0.0001535,0.0001535
